REGION_CLASS	REGION_MEMBER	USED_MEMBER	USED_CLASS	SOURCE_TYPE
io.micronaut.context.visitor.ConfigurationReaderVisitor	metadataBuilder	INSTANCE	io.micronaut.inject.configuration.ConfigurationMetadataBuilder	SOURCE
io.micronaut.context.visitor.ConfigurationReaderVisitor	metadataBuilder	INSTANCE	io.micronaut.inject.configuration.ConfigurationMetadataBuilder	SOURCE
io.micronaut.context.visitor.ConfigurationReaderVisitor	visitClass(io.micronaut.inject.ast.ClassElement,io.micronaut.inject.visitor.VisitorContext)	class	io.micronaut.context.annotation.ConfigurationReader	SOURCE
io.micronaut.context.visitor.ConfigurationReaderVisitor	visitClass(io.micronaut.inject.ast.ClassElement,io.micronaut.inject.visitor.VisitorContext)	metadataBuilder	io.micronaut.context.visitor.ConfigurationReaderVisitor	SOURCE
io.micronaut.context.visitor.ConfigurationReaderVisitor	visitClass(io.micronaut.inject.ast.ClassElement,io.micronaut.inject.visitor.VisitorContext)	class	io.micronaut.context.annotation.ConfigurationReader	SOURCE
io.micronaut.context.visitor.ConfigurationReaderVisitor	visitClass(io.micronaut.inject.ast.ClassElement,io.micronaut.inject.visitor.VisitorContext)	PREFIX	io.micronaut.context.annotation.ConfigurationReader	SOURCE
io.micronaut.context.visitor.ConfigurationReaderVisitor	visitClass(io.micronaut.inject.ast.ClassElement,io.micronaut.inject.visitor.VisitorContext)	ANN_CONFIGURATION_ADVICE	io.micronaut.context.visitor.ConfigurationReaderVisitor	SOURCE
io.micronaut.context.visitor.ConfigurationReaderVisitor	visitClass(io.micronaut.inject.ast.ClassElement,io.micronaut.inject.visitor.VisitorContext)	class	io.micronaut.inject.validation.RequiresValidation	SOURCE
io.micronaut.context.visitor.ConfigurationReaderVisitor	visitClass(io.micronaut.inject.ast.ClassElement,io.micronaut.inject.visitor.VisitorContext)	class	io.micronaut.core.annotation.Introspected	SOURCE
io.micronaut.context.visitor.ConfigurationReaderVisitor	visitClass(io.micronaut.inject.ast.ClassElement,io.micronaut.inject.visitor.VisitorContext)	readPrefixes	io.micronaut.context.visitor.ConfigurationReaderVisitor	SOURCE
io.micronaut.context.visitor.ConfigurationReaderVisitor	visitClass(io.micronaut.inject.ast.ClassElement,io.micronaut.inject.visitor.VisitorContext)	class	io.micronaut.core.annotation.AccessorsStyle	SOURCE
io.micronaut.context.visitor.ConfigurationReaderVisitor	visitClass(io.micronaut.inject.ast.ClassElement,io.micronaut.inject.visitor.VisitorContext)	class	Array	SOURCE
io.micronaut.context.visitor.ConfigurationReaderVisitor	visitClass(io.micronaut.inject.ast.ClassElement,io.micronaut.inject.visitor.VisitorContext)	DEFAULT_READ_PREFIX	io.micronaut.core.annotation.AccessorsStyle	SOURCE
io.micronaut.context.visitor.ConfigurationReaderVisitor	reset()	readPrefixes	io.micronaut.context.visitor.ConfigurationReaderVisitor	SOURCE
io.micronaut.context.visitor.ConfigurationReaderVisitor	isPropertyParameter(io.micronaut.inject.ast.ClassElement,io.micronaut.inject.visitor.VisitorContext)	class	java.util.Map	SOURCE
io.micronaut.context.visitor.ConfigurationReaderVisitor	isPropertyParameter(io.micronaut.inject.ast.ClassElement,io.micronaut.inject.visitor.VisitorContext)	SCOPE	io.micronaut.core.annotation.AnnotationUtil	SOURCE
io.micronaut.context.visitor.ConfigurationReaderVisitor	isPropertyParameter(io.micronaut.inject.ast.ClassElement,io.micronaut.inject.visitor.VisitorContext)	class	io.micronaut.context.annotation.Bean	SOURCE
io.micronaut.context.visitor.ConfigurationReaderVisitor	isProvider(io.micronaut.inject.ast.ClassElement)	PROVIDER_TYPES	io.micronaut.core.type.DefaultArgument	SOURCE
io.micronaut.context.visitor.ConfigurationReaderVisitor	visitAbstractMethod(io.micronaut.inject.ast.MethodElement,io.micronaut.inject.visitor.VisitorContext)	metadataBuilder	io.micronaut.context.visitor.ConfigurationReaderVisitor	SOURCE
io.micronaut.context.visitor.ConfigurationReaderVisitor	visitAbstractMethod(io.micronaut.inject.ast.MethodElement,io.micronaut.inject.visitor.VisitorContext)	class	io.micronaut.core.bind.annotation.Bindable	SOURCE
io.micronaut.context.visitor.ConfigurationReaderVisitor	visitAbstractMethod(io.micronaut.inject.ast.MethodElement,io.micronaut.inject.visitor.VisitorContext)	class	io.micronaut.context.annotation.Property	SOURCE
io.micronaut.context.visitor.ConfigurationReaderVisitor	visitAbstractMethod(io.micronaut.inject.ast.MethodElement,io.micronaut.inject.visitor.VisitorContext)	ANN_CONFIGURATION_ADVICE	io.micronaut.context.visitor.ConfigurationReaderVisitor	SOURCE
io.micronaut.context.visitor.ConfigurationReaderVisitor	visitAbstractMethod(io.micronaut.inject.ast.MethodElement,io.micronaut.inject.visitor.VisitorContext)	class	io.micronaut.context.annotation.EachProperty	SOURCE
io.micronaut.context.visitor.ConfigurationReaderVisitor	getPropertyNameForGetter(java.lang.String)	readPrefixes	io.micronaut.context.visitor.ConfigurationReaderVisitor	SOURCE
io.micronaut.context.visitor.ConfigurationReaderVisitor	isGetter(java.lang.String)	readPrefixes	io.micronaut.context.visitor.ConfigurationReaderVisitor	SOURCE
io.micronaut.inject.visitor.TypeElementVisitor	getSupportedAnnotationNames()	class	io.micronaut.inject.visitor.TypeElementVisitor	SOURCE
io.micronaut.inject.visitor.TypeElementVisitor	getSupportedAnnotationNames()	length	Array	SOURCE
io.micronaut.inject.visitor.TypeElementVisitor	getSupportedAnnotationNames()	class	java.lang.Object	SOURCE
