REGION_CLASS	REGION_MEMBER	USED_MEMBER	USED_CLASS	SOURCE_TYPE
io.micronaut.core.async.publisher.SingleSubscriberPublisher	subscribe(org.reactivestreams.Subscriber)	subscriber	io.micronaut.core.async.publisher.SingleSubscriberPublisher	SOURCE
io.micronaut.core.async.publisher.SingleSubscriberPublisher	subscribe(org.reactivestreams.Subscriber)	this	io.micronaut.core.async.publisher.SingleSubscriberPublisher	SOURCE
io.micronaut.core.async.publisher.SingleSubscriberPublisher	subscribe(org.reactivestreams.Subscriber)	EMPTY_SUBSCRIPTION	io.micronaut.core.async.publisher.SingleSubscriberPublisher	SOURCE
io.micronaut.core.async.publisher.SingleSubscriberPublisher	currentSubscriber()	subscriber	io.micronaut.core.async.publisher.SingleSubscriberPublisher	SOURCE
io.micronaut.core.async.publisher.CompletableFuturePublisher	CompletableFuturePublisher(java.util.function.Supplier)	futureSupplier	io.micronaut.core.async.publisher.CompletableFuturePublisher	SOURCE
io.micronaut.core.async.publisher.CompletableFuturePublisher	CompletableFuturePublisher(java.util.function.Supplier)	this	io.micronaut.core.async.publisher.CompletableFuturePublisher	SOURCE
io.micronaut.core.async.publisher.CompletableFuturePublisher$CompletableFutureSubscription	CompletableFutureSubscription(org.reactivestreams.Subscriber)	subscriber	io.micronaut.core.async.publisher.CompletableFuturePublisher$CompletableFutureSubscription	SOURCE
io.micronaut.core.async.publisher.CompletableFuturePublisher$CompletableFutureSubscription	CompletableFutureSubscription(org.reactivestreams.Subscriber)	this	io.micronaut.core.async.publisher.CompletableFuturePublisher$CompletableFutureSubscription	SOURCE
io.micronaut.core.async.publisher.CompletableFuturePublisher$CompletableFutureSubscription	request(long)	completed	io.micronaut.core.async.publisher.CompletableFuturePublisher$CompletableFutureSubscription	SOURCE
io.micronaut.core.async.publisher.CompletableFuturePublisher$CompletableFutureSubscription	request(long)	subscriber	io.micronaut.core.async.publisher.CompletableFuturePublisher$CompletableFutureSubscription	SOURCE
io.micronaut.core.async.publisher.CompletableFuturePublisher$CompletableFutureSubscription	request(long)	futureSupplier	io.micronaut.core.async.publisher.CompletableFuturePublisher	SOURCE
io.micronaut.core.async.publisher.CompletableFuturePublisher$CompletableFutureSubscription	request(long)	subscriber	io.micronaut.core.async.publisher.CompletableFuturePublisher$CompletableFutureSubscription	SOURCE
io.micronaut.core.async.publisher.CompletableFuturePublisher$CompletableFutureSubscription	request(long)	future	io.micronaut.core.async.publisher.CompletableFuturePublisher$CompletableFutureSubscription	SOURCE
io.micronaut.core.async.publisher.CompletableFuturePublisher$CompletableFutureSubscription	request(long)	this	io.micronaut.core.async.publisher.CompletableFuturePublisher$CompletableFutureSubscription	SOURCE
io.micronaut.core.async.publisher.CompletableFuturePublisher$CompletableFutureSubscription	request(long)	completed	io.micronaut.core.async.publisher.CompletableFuturePublisher$CompletableFutureSubscription	SOURCE
io.micronaut.core.async.publisher.CompletableFuturePublisher$CompletableFutureSubscription	request(long)	subscriber	io.micronaut.core.async.publisher.CompletableFuturePublisher$CompletableFutureSubscription	SOURCE
io.micronaut.core.async.publisher.CompletableFuturePublisher$CompletableFutureSubscription	request(long)	subscriber	io.micronaut.core.async.publisher.CompletableFuturePublisher$CompletableFutureSubscription	SOURCE
io.micronaut.core.async.publisher.CompletableFuturePublisher$CompletableFutureSubscription	request(long)	subscriber	io.micronaut.core.async.publisher.CompletableFuturePublisher$CompletableFutureSubscription	SOURCE
io.micronaut.core.async.publisher.CompletableFuturePublisher$CompletableFutureSubscription	request(long)	subscriber	io.micronaut.core.async.publisher.CompletableFuturePublisher$CompletableFutureSubscription	SOURCE
io.micronaut.core.async.publisher.CompletableFuturePublisher$CompletableFutureSubscription	cancel()	completed	io.micronaut.core.async.publisher.CompletableFuturePublisher$CompletableFutureSubscription	SOURCE
io.micronaut.core.async.publisher.CompletableFuturePublisher$CompletableFutureSubscription	cancel()	future	io.micronaut.core.async.publisher.CompletableFuturePublisher$CompletableFutureSubscription	SOURCE
io.micronaut.core.async.publisher.CompletableFuturePublisher$CompletableFutureSubscription	cancel()	future	io.micronaut.core.async.publisher.CompletableFuturePublisher$CompletableFutureSubscription	SOURCE
io.micronaut.core.async.publisher.Publishers	class	class	io.micronaut.core.async.publisher.Publishers	SOURCE
io.micronaut.core.async.publisher.Publishers	class	class	io.micronaut.core.async.publisher.Publishers	SOURCE
io.micronaut.core.async.publisher.Publishers	publishers	class	io.micronaut.core.async.publisher.PublishersOptimizations	SOURCE
io.micronaut.core.async.publisher.Publishers	REACTIVE_TYPES	REACTIVE_TYPES	io.micronaut.core.async.publisher.Publishers	SOURCE
io.micronaut.core.async.publisher.Publishers	SINGLE_TYPES	SINGLE_TYPES	io.micronaut.core.async.publisher.Publishers	SOURCE
io.micronaut.core.async.publisher.Publishers	COMPLETABLE_TYPES	COMPLETABLE_TYPES	io.micronaut.core.async.publisher.Publishers	SOURCE
io.micronaut.core.async.publisher.Publishers	registerReactiveType(java.lang.Class)	REACTIVE_TYPES	io.micronaut.core.async.publisher.Publishers	SOURCE
io.micronaut.core.async.publisher.Publishers	registerReactiveSingle(java.lang.Class)	SINGLE_TYPES	io.micronaut.core.async.publisher.Publishers	SOURCE
io.micronaut.core.async.publisher.Publishers	registerReactiveCompletable(java.lang.Class)	COMPLETABLE_TYPES	io.micronaut.core.async.publisher.Publishers	SOURCE
io.micronaut.core.async.publisher.Publishers	getKnownReactiveTypes()	REACTIVE_TYPES	io.micronaut.core.async.publisher.Publishers	SOURCE
io.micronaut.core.async.publisher.Publishers	getKnownSingleTypes()	SINGLE_TYPES	io.micronaut.core.async.publisher.Publishers	SOURCE
