REGION_CLASS	REGION_MEMBER	USED_MEMBER	USED_CLASS	SOURCE_TYPE
io.micronaut.http.client.netty.websocket.NettyWebSocketClientHandler	NettyWebSocketClientHandler(io.micronaut.http.MutableHttpRequest,io.micronaut.websocket.context.WebSocketBean,io.netty.handler.codec.http.websocketx.WebSocketClientHandshaker,io.micronaut.http.bind.RequestBinderRegistry,io.micronaut.http.codec.MediaTypeCodecRegistry,io.micronaut.core.convert.ConversionService)	codecRegistry	io.micronaut.http.client.netty.websocket.NettyWebSocketClientHandler	SOURCE
io.micronaut.http.client.netty.websocket.NettyWebSocketClientHandler	NettyWebSocketClientHandler(io.micronaut.http.MutableHttpRequest,io.micronaut.websocket.context.WebSocketBean,io.netty.handler.codec.http.websocketx.WebSocketClientHandshaker,io.micronaut.http.bind.RequestBinderRegistry,io.micronaut.http.codec.MediaTypeCodecRegistry,io.micronaut.core.convert.ConversionService)	this	io.micronaut.http.client.netty.websocket.NettyWebSocketClientHandler	SOURCE
io.micronaut.http.client.netty.websocket.NettyWebSocketClientHandler	NettyWebSocketClientHandler(io.micronaut.http.MutableHttpRequest,io.micronaut.websocket.context.WebSocketBean,io.netty.handler.codec.http.websocketx.WebSocketClientHandshaker,io.micronaut.http.bind.RequestBinderRegistry,io.micronaut.http.codec.MediaTypeCodecRegistry,io.micronaut.core.convert.ConversionService)	handshaker	io.micronaut.http.client.netty.websocket.NettyWebSocketClientHandler	SOURCE
io.micronaut.http.client.netty.websocket.NettyWebSocketClientHandler	NettyWebSocketClientHandler(io.micronaut.http.MutableHttpRequest,io.micronaut.websocket.context.WebSocketBean,io.netty.handler.codec.http.websocketx.WebSocketClientHandshaker,io.micronaut.http.bind.RequestBinderRegistry,io.micronaut.http.codec.MediaTypeCodecRegistry,io.micronaut.core.convert.ConversionService)	this	io.micronaut.http.client.netty.websocket.NettyWebSocketClientHandler	SOURCE
io.micronaut.http.client.netty.websocket.NettyWebSocketClientHandler	NettyWebSocketClientHandler(io.micronaut.http.MutableHttpRequest,io.micronaut.websocket.context.WebSocketBean,io.netty.handler.codec.http.websocketx.WebSocketClientHandshaker,io.micronaut.http.bind.RequestBinderRegistry,io.micronaut.http.codec.MediaTypeCodecRegistry,io.micronaut.core.convert.ConversionService)	genericWebSocketBean	io.micronaut.http.client.netty.websocket.NettyWebSocketClientHandler	SOURCE
io.micronaut.http.client.netty.websocket.NettyWebSocketClientHandler	NettyWebSocketClientHandler(io.micronaut.http.MutableHttpRequest,io.micronaut.websocket.context.WebSocketBean,io.netty.handler.codec.http.websocketx.WebSocketClientHandshaker,io.micronaut.http.bind.RequestBinderRegistry,io.micronaut.http.codec.MediaTypeCodecRegistry,io.micronaut.core.convert.ConversionService)	this	io.micronaut.http.client.netty.websocket.NettyWebSocketClientHandler	SOURCE
io.micronaut.http.client.netty.websocket.NettyWebSocketClientHandler	NettyWebSocketClientHandler(io.micronaut.http.MutableHttpRequest,io.micronaut.websocket.context.WebSocketBean,io.netty.handler.codec.http.websocketx.WebSocketClientHandshaker,io.micronaut.http.bind.RequestBinderRegistry,io.micronaut.http.codec.MediaTypeCodecRegistry,io.micronaut.core.convert.ConversionService)	class	io.micronaut.websocket.annotation.ClientWebSocket	SOURCE
io.micronaut.http.client.netty.websocket.NettyWebSocketClientHandler	NettyWebSocketClientHandler(io.micronaut.http.MutableHttpRequest,io.micronaut.websocket.context.WebSocketBean,io.netty.handler.codec.http.websocketx.WebSocketClientHandshaker,io.micronaut.http.bind.RequestBinderRegistry,io.micronaut.http.codec.MediaTypeCodecRegistry,io.micronaut.core.convert.ConversionService)	matchInfo	io.micronaut.http.client.netty.websocket.NettyWebSocketClientHandler	SOURCE
io.micronaut.http.client.netty.websocket.NettyWebSocketClientHandler	NettyWebSocketClientHandler(io.micronaut.http.MutableHttpRequest,io.micronaut.websocket.context.WebSocketBean,io.netty.handler.codec.http.websocketx.WebSocketClientHandshaker,io.micronaut.http.bind.RequestBinderRegistry,io.micronaut.http.codec.MediaTypeCodecRegistry,io.micronaut.core.convert.ConversionService)	this	io.micronaut.http.client.netty.websocket.NettyWebSocketClientHandler	SOURCE
io.micronaut.http.client.netty.websocket.NettyWebSocketClientHandler	userEventTriggered(io.netty.channel.ChannelHandlerContext,java.lang.Object)	clientSession	io.micronaut.http.client.netty.websocket.NettyWebSocketClientHandler	SOURCE
