id	class	method	parent	flags	annotations	visibility	non-primitive-return	path
1	io.micronaut.context.DefaultBeanContext	DefaultBeanContext()	0	[]		public	false	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
2	io.micronaut.context.DefaultBeanContext	DefaultBeanContext(java.lang.ClassLoader)	0	[false]		public	false	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
3	io.micronaut.context.DefaultBeanContext$1	getClassLoader()	4	[]	io.micronaut.core.annotation.NonNull,java.lang.Override,io.micronaut.core.annotation.NonNull	public	true	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
5	io.micronaut.context.DefaultBeanContext	DefaultBeanContext(io.micronaut.core.io.scan.ClassPathResourceLoader)	0	[false]		public	false	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
6	io.micronaut.context.DefaultBeanContext$2	getClassLoader()	4	[]	io.micronaut.core.annotation.NonNull,java.lang.Override,io.micronaut.core.annotation.NonNull	public	true	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
7	io.micronaut.context.DefaultBeanContext	DefaultBeanContext(io.micronaut.context.BeanContextConfiguration)	0	[false]		public	false	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
8	io.micronaut.context.DefaultBeanContext	createCustomScopeRegistry()	0	[]	io.micronaut.core.annotation.NonNull,io.micronaut.core.annotation.NonNull	protected	true	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
9	io.micronaut.context.DefaultBeanContext	getCustomScopeRegistry()	0	[]	io.micronaut.core.annotation.Internal,io.micronaut.core.annotation.NonNull,io.micronaut.core.annotation.NonNull	package	true	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
10	io.micronaut.context.DefaultBeanContext	isRunning()	11	[]	java.lang.Override	public	false	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
12	io.micronaut.context.DefaultBeanContext	start()	13	[]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
14	io.micronaut.context.DefaultBeanContext	registerConversionService()	0	[]		protected	false	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
15	io.micronaut.context.DefaultBeanContext	trackDisabledComponent(io.micronaut.context.condition.ConditionContext)	0	[false]	io.micronaut.core.annotation.Internal	package	false	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
16	io.micronaut.context.DefaultBeanContext	stop()	17	[]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
18	io.micronaut.context.DefaultBeanContext	resolveMetadata(java.lang.Class)	19	[false]	java.lang.Override,io.micronaut.core.annotation.NonNull,io.micronaut.core.annotation.NonNull	public	true	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
20	io.micronaut.context.DefaultBeanContext	refreshBean(io.micronaut.inject.BeanIdentifier)	21	[true]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
22	io.micronaut.context.DefaultBeanContext	refreshBean(io.micronaut.context.BeanRegistration)	23	[false]	java.lang.Override	public	false	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
24	io.micronaut.context.DefaultBeanContext	getActiveBeanRegistrations(io.micronaut.context.Qualifier)	25	[false]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
26	io.micronaut.context.DefaultBeanContext	getActiveBeanRegistrations(java.lang.Class)	27	[false]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
28	io.micronaut.context.DefaultBeanContext	getBeanRegistrations(java.lang.Class)	29	[false]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
30	io.micronaut.context.DefaultBeanContext	getBeanRegistration(java.lang.Class,io.micronaut.context.Qualifier)	31	[false, false]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
32	io.micronaut.context.DefaultBeanContext	getBeanRegistrations(java.lang.Class,io.micronaut.context.Qualifier)	33	[false, false]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
34	io.micronaut.context.DefaultBeanContext	getBeanRegistrations(io.micronaut.core.type.Argument,io.micronaut.context.Qualifier)	35	[false, false]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
36	io.micronaut.context.DefaultBeanContext	getBeanRegistration(io.micronaut.core.type.Argument,io.micronaut.context.Qualifier)	37	[false, false]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
38	io.micronaut.context.DefaultBeanContext	getBeanRegistration(io.micronaut.inject.BeanDefinition)	39	[false]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
40	io.micronaut.context.DefaultBeanContext	findBeanRegistration(T)	41	[false]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
42	io.micronaut.context.DefaultBeanContext	findExecutionHandle(java.lang.Class,java.lang.String,java.lang.Class[])	43	[false, false, false]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
44	io.micronaut.context.DefaultBeanContext	createExecutionHandle(io.micronaut.inject.BeanDefinition,io.micronaut.inject.ExecutableMethod)	45	[false, false]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
46	io.micronaut.context.DefaultBeanContext	findExecutionHandle(java.lang.Class,io.micronaut.context.Qualifier,java.lang.String,java.lang.Class[])	47	[false, false, false, false]	java.lang.SuppressWarnings,java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
48	io.micronaut.context.DefaultBeanContext	findExecutableMethod(java.lang.Class,java.lang.String,java.lang.Class[])	49	[false, false, false]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
50	io.micronaut.context.DefaultBeanContext	findExecutionHandle(T,java.lang.String,java.lang.Class[])	51	[false, false, false]	java.lang.SuppressWarnings,java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
52	io.micronaut.context.DefaultBeanContext	registerSingleton(java.lang.Class,T,io.micronaut.context.Qualifier,boolean)	53	[false, false, false, false]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
54	io.micronaut.context.DefaultBeanContext	purgeCacheForBeanInstance(T)	0	[false]		private	false	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
55	io.micronaut.context.DefaultBeanContext	newResolutionContext(io.micronaut.inject.BeanDefinition,io.micronaut.context.BeanResolutionContext)	0	[false, true]	io.micronaut.core.annotation.NonNull,io.micronaut.core.annotation.NonNull	package	true	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
56	io.micronaut.context.DefaultBeanContext	getClassLoader()	57	[]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
58	io.micronaut.context.DefaultBeanContext	getBeanValidator()	59	[]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
60	io.micronaut.context.DefaultBeanContext	findBeanConfiguration(java.lang.String)	61	[false]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
62	io.micronaut.context.DefaultBeanContext	getBeanDefinition(io.micronaut.core.type.Argument,io.micronaut.context.Qualifier)	63	[false, false]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
64	io.micronaut.context.DefaultBeanContext	findBeanDefinition(io.micronaut.core.type.Argument,io.micronaut.context.Qualifier)	65	[false, false]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
66	io.micronaut.context.DefaultBeanContext	findBeanDefinitionInternal(io.micronaut.core.type.Argument,io.micronaut.context.Qualifier)	0	[false, false]		private	true	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
67	io.micronaut.context.DefaultBeanContext	findBeanDefinition(java.lang.Class,io.micronaut.context.Qualifier)	68	[false, false]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
69	io.micronaut.context.DefaultBeanContext	getBeanDefinitions(java.lang.Class)	70	[false]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
71	io.micronaut.context.DefaultBeanContext	getBeanDefinitions(io.micronaut.core.type.Argument)	72	[false]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
73	io.micronaut.context.DefaultBeanContext	getBeanDefinitions(java.lang.Class,io.micronaut.context.Qualifier)	74	[false, false]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
75	io.micronaut.context.DefaultBeanContext	getBeanDefinitions(io.micronaut.core.type.Argument,io.micronaut.context.Qualifier)	76	[false, false]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/inject/src/main/java/io/micronaut/context/DefaultBeanContext.java
