REGION_CLASS	REGION_MEMBER	USED_MEMBER	USED_CLASS	SOURCE_TYPE
io.micronaut.jackson.core.tree.TreeGenerator	setCodec(com.fasterxml.jackson.core.ObjectCodec)	codec	io.micronaut.jackson.core.tree.TreeGenerator	SOURCE
io.micronaut.jackson.core.tree.TreeGenerator	setCodec(com.fasterxml.jackson.core.ObjectCodec)	this	io.micronaut.jackson.core.tree.TreeGenerator	SOURCE
io.micronaut.jackson.core.tree.TreeGenerator	setCodec(com.fasterxml.jackson.core.ObjectCodec)	this	io.micronaut.jackson.core.tree.TreeGenerator	SOURCE
io.micronaut.jackson.core.tree.TreeGenerator	getCodec()	codec	io.micronaut.jackson.core.tree.TreeGenerator	SOURCE
io.micronaut.jackson.core.tree.TreeGenerator	enable(com.fasterxml.jackson.core.JsonGenerator.Feature)	generatorFeatures	io.micronaut.jackson.core.tree.TreeGenerator	SOURCE
io.micronaut.jackson.core.tree.TreeGenerator	enable(com.fasterxml.jackson.core.JsonGenerator.Feature)	this	io.micronaut.jackson.core.tree.TreeGenerator	SOURCE
io.micronaut.jackson.core.tree.TreeGenerator	disable(com.fasterxml.jackson.core.JsonGenerator.Feature)	generatorFeatures	io.micronaut.jackson.core.tree.TreeGenerator	SOURCE
io.micronaut.jackson.core.tree.TreeGenerator	disable(com.fasterxml.jackson.core.JsonGenerator.Feature)	this	io.micronaut.jackson.core.tree.TreeGenerator	SOURCE
io.micronaut.jackson.core.tree.TreeGenerator	isEnabled(com.fasterxml.jackson.core.JsonGenerator.Feature)	generatorFeatures	io.micronaut.jackson.core.tree.TreeGenerator	SOURCE
io.micronaut.jackson.core.tree.TreeGenerator	getFeatureMask()	generatorFeatures	io.micronaut.jackson.core.tree.TreeGenerator	SOURCE
io.micronaut.jackson.core.tree.TreeGenerator	setFeatureMask(int)	generatorFeatures	io.micronaut.jackson.core.tree.TreeGenerator	SOURCE
io.micronaut.jackson.core.tree.TreeGenerator	setFeatureMask(int)	this	io.micronaut.jackson.core.tree.TreeGenerator	SOURCE
io.micronaut.jackson.core.tree.TreeGenerator	useDefaultPrettyPrinter()	this	io.micronaut.jackson.core.tree.TreeGenerator	SOURCE
io.micronaut.jackson.core.tree.TreeGenerator	checkEmptyNodeStack(com.fasterxml.jackson.core.JsonToken)	structureStack	io.micronaut.jackson.core.tree.TreeGenerator	SOURCE
io.micronaut.jackson.core.tree.TreeGenerator	checkEmptyNodeStack(com.fasterxml.jackson.core.JsonToken)	this	io.micronaut.jackson.core.tree.TreeGenerator	SOURCE
io.micronaut.jackson.core.tree.TreeGenerator	complete(io.micronaut.json.tree.JsonNode)	completed	io.micronaut.jackson.core.tree.TreeGenerator	SOURCE
io.micronaut.jackson.core.tree.TreeGenerator	complete(io.micronaut.json.tree.JsonNode)	this	io.micronaut.jackson.core.tree.TreeGenerator	SOURCE
io.micronaut.jackson.core.tree.TreeGenerator	complete(io.micronaut.json.tree.JsonNode)	completed	io.micronaut.jackson.core.tree.TreeGenerator	SOURCE
io.micronaut.jackson.core.tree.TreeGenerator	isComplete()	completed	io.micronaut.jackson.core.tree.TreeGenerator	SOURCE
io.micronaut.jackson.core.tree.TreeGenerator	getCompletedValue()	completed	io.micronaut.jackson.core.tree.TreeGenerator	SOURCE
io.micronaut.jackson.core.tree.TreeGenerator	writeStartArray()	structureStack	io.micronaut.jackson.core.tree.TreeGenerator	SOURCE
io.micronaut.jackson.core.tree.TreeGenerator	writeEndStructure(com.fasterxml.jackson.core.JsonToken)	structureStack	io.micronaut.jackson.core.tree.TreeGenerator	SOURCE
io.micronaut.jackson.core.tree.TreeGenerator	writeEndStructure(com.fasterxml.jackson.core.JsonToken)	structureStack	io.micronaut.jackson.core.tree.TreeGenerator	SOURCE
io.micronaut.jackson.core.tree.TreeGenerator	writeEndStructure(com.fasterxml.jackson.core.JsonToken)	structureStack	io.micronaut.jackson.core.tree.TreeGenerator	SOURCE
io.micronaut.jackson.core.tree.TreeGenerator	writeStartObject()	structureStack	io.micronaut.jackson.core.tree.TreeGenerator	SOURCE
io.micronaut.jackson.core.tree.TreeGenerator	writeFieldName(java.lang.String)	structureStack	io.micronaut.jackson.core.tree.TreeGenerator	SOURCE
io.micronaut.jackson.core.tree.TreeGenerator	writeScalar(com.fasterxml.jackson.core.JsonToken,io.micronaut.json.tree.JsonNode)	structureStack	io.micronaut.jackson.core.tree.TreeGenerator	SOURCE
