REGION_CLASS	REGION_MEMBER	USED_MEMBER	USED_CLASS	SOURCE_TYPE
io.micronaut.jackson.ObjectMapperFactory	jsonFactory(io.micronaut.jackson.JacksonConfiguration)	builder()	com.fasterxml.jackson.core.JsonFactory	SOURCE
io.micronaut.jackson.ObjectMapperFactory	jsonFactory(io.micronaut.jackson.JacksonConfiguration)	forEach(java.util.function.BiConsumer)	java.util.Map	SOURCE
io.micronaut.jackson.ObjectMapperFactory	jsonFactory(io.micronaut.jackson.JacksonConfiguration)	getFactorySettings()	io.micronaut.jackson.JacksonConfiguration	SOURCE
io.micronaut.jackson.ObjectMapperFactory	jsonFactory(io.micronaut.jackson.JacksonConfiguration)	accept(T,U)	java.util.function.BiConsumer	SOURCE
io.micronaut.jackson.ObjectMapperFactory	jsonFactory(io.micronaut.jackson.JacksonConfiguration)	configure(com.fasterxml.jackson.core.JsonFactory.Feature,boolean)	com.fasterxml.jackson.core.TSFBuilder	SOURCE
io.micronaut.jackson.ObjectMapperFactory	jsonFactory(io.micronaut.jackson.JacksonConfiguration)	build()	com.fasterxml.jackson.core.TSFBuilder	SOURCE
io.micronaut.jackson.ObjectMapperFactory	objectMapper(io.micronaut.jackson.JacksonConfiguration,com.fasterxml.jackson.core.JsonFactory)	ObjectMapper(com.fasterxml.jackson.core.JsonFactory,com.fasterxml.jackson.databind.ser.DefaultSerializerProvider,com.fasterxml.jackson.databind.deser.DefaultDeserializationContext)	com.fasterxml.jackson.databind.ObjectMapper	SOURCE
io.micronaut.jackson.ObjectMapperFactory	objectMapper(io.micronaut.jackson.JacksonConfiguration,com.fasterxml.jackson.core.JsonFactory)	Impl(com.fasterxml.jackson.databind.deser.DeserializerFactory)	com.fasterxml.jackson.databind.deser.DefaultDeserializationContext$Impl	SOURCE
io.micronaut.jackson.ObjectMapperFactory	objectMapper(io.micronaut.jackson.JacksonConfiguration,com.fasterxml.jackson.core.JsonFactory)	ResilientBeanDeserializerFactory(com.fasterxml.jackson.databind.cfg.DeserializerFactoryConfig)	io.micronaut.jackson.ResilientBeanDeserializerFactory	SOURCE
io.micronaut.jackson.ObjectMapperFactory	objectMapper(io.micronaut.jackson.JacksonConfiguration,com.fasterxml.jackson.core.JsonFactory)	DeserializerFactoryConfig()	com.fasterxml.jackson.databind.cfg.DeserializerFactoryConfig	SOURCE
io.micronaut.jackson.ObjectMapperFactory	objectMapper(io.micronaut.jackson.JacksonConfiguration,com.fasterxml.jackson.core.JsonFactory)	isModuleScan()	io.micronaut.jackson.JacksonConfiguration	SOURCE
io.micronaut.jackson.ObjectMapperFactory	objectMapper(io.micronaut.jackson.JacksonConfiguration,com.fasterxml.jackson.core.JsonFactory)	findAndRegisterModules()	com.fasterxml.jackson.databind.ObjectMapper	SOURCE
io.micronaut.jackson.ObjectMapperFactory	objectMapper(io.micronaut.jackson.JacksonConfiguration,com.fasterxml.jackson.core.JsonFactory)	registerModules(com.fasterxml.jackson.databind.Module[])	com.fasterxml.jackson.databind.ObjectMapper	SOURCE
io.micronaut.jackson.ObjectMapperFactory	objectMapper(io.micronaut.jackson.JacksonConfiguration,com.fasterxml.jackson.core.JsonFactory)	SimpleModule(java.lang.String)	com.fasterxml.jackson.databind.module.SimpleModule	SOURCE
io.micronaut.jackson.ObjectMapperFactory	objectMapper(io.micronaut.jackson.JacksonConfiguration,com.fasterxml.jackson.core.JsonFactory)	setDeserializers(com.fasterxml.jackson.databind.module.SimpleDeserializers)	com.fasterxml.jackson.databind.module.SimpleModule	SOURCE
io.micronaut.jackson.ObjectMapperFactory	objectMapper(io.micronaut.jackson.JacksonConfiguration,com.fasterxml.jackson.core.JsonFactory)	MicronautDeserializers(io.micronaut.core.convert.ConversionService)	io.micronaut.jackson.serialize.MicronautDeserializers	SOURCE
io.micronaut.jackson.ObjectMapperFactory	objectMapper(io.micronaut.jackson.JacksonConfiguration,com.fasterxml.jackson.core.JsonFactory)	getClass()	java.lang.Object	SOURCE
io.micronaut.jackson.ObjectMapperFactory	objectMapper(io.micronaut.jackson.JacksonConfiguration,com.fasterxml.jackson.core.JsonFactory)	getAnnotation(java.lang.Class)	java.lang.Class	SOURCE
io.micronaut.jackson.ObjectMapperFactory	objectMapper(io.micronaut.jackson.JacksonConfiguration,com.fasterxml.jackson.core.JsonFactory)	value()	io.micronaut.context.annotation.Type	SOURCE
io.micronaut.jackson.ObjectMapperFactory	objectMapper(io.micronaut.jackson.JacksonConfiguration,com.fasterxml.jackson.core.JsonFactory)	addSerializer(java.lang.Class,com.fasterxml.jackson.databind.JsonSerializer)	com.fasterxml.jackson.databind.module.SimpleModule	SOURCE
io.micronaut.jackson.ObjectMapperFactory	objectMapper(io.micronaut.jackson.JacksonConfiguration,com.fasterxml.jackson.core.JsonFactory)	resolveSuperGenericTypeArgument(java.lang.Class)	io.micronaut.core.reflect.GenericTypeUtils	SOURCE
io.micronaut.jackson.ObjectMapperFactory	objectMapper(io.micronaut.jackson.JacksonConfiguration,com.fasterxml.jackson.core.JsonFactory)	isPresent()	java.util.Optional	SOURCE
