id	class	method	parent	flags	annotations	visibility	non-primitive-return	path
1	io.micronaut.jackson.ObjectMapperFactory	jsonFactory(io.micronaut.jackson.JacksonConfiguration)	0	[false]	io.micronaut.context.annotation.Requires,jakarta.inject.Singleton,io.micronaut.context.annotation.BootstrapContextCompatible	public	true	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/ObjectMapperFactory.java
2	io.micronaut.jackson.ObjectMapperFactory	setSerializers(com.fasterxml.jackson.databind.JsonSerializer[])	0	[false]		public	false	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/ObjectMapperFactory.java
3	io.micronaut.jackson.ObjectMapperFactory	setDeserializers(com.fasterxml.jackson.databind.JsonDeserializer[])	0	[false]		public	false	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/ObjectMapperFactory.java
4	io.micronaut.jackson.ObjectMapperFactory	objectMapper(io.micronaut.jackson.JacksonConfiguration,com.fasterxml.jackson.core.JsonFactory)	0	[true, true]	jakarta.inject.Singleton,io.micronaut.context.annotation.Primary,jakarta.inject.Named,io.micronaut.context.annotation.BootstrapContextCompatible	public	true	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/ObjectMapperFactory.java
5	io.micronaut.jackson.ObjectMapperFactory$1	deserialize(com.fasterxml.jackson.core.JsonParser,com.fasterxml.jackson.databind.DeserializationContext)	6	[false, false]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/ObjectMapperFactory.java
7	io.micronaut.jackson.JacksonConfiguration	isBeanIntrospectionModule()	0	[]	io.micronaut.core.annotation.Experimental	public	false	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
8	io.micronaut.jackson.JacksonConfiguration	setBeanIntrospectionModule(boolean)	0	[false]	io.micronaut.core.annotation.Experimental	public	false	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
9	io.micronaut.jackson.JacksonConfiguration	isModuleScan()	0	[]		public	false	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
10	io.micronaut.jackson.JacksonConfiguration	setModuleScan(boolean)	0	[false]		public	false	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
11	io.micronaut.jackson.JacksonConfiguration	getSerializationInclusion()	0	[]		public	true	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
12	io.micronaut.jackson.JacksonConfiguration	getDefaultTyping()	0	[]		public	true	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
13	io.micronaut.jackson.JacksonConfiguration	getLocale()	0	[]		public	true	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
14	io.micronaut.jackson.JacksonConfiguration	getTimeZone()	0	[]		public	true	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
15	io.micronaut.jackson.JacksonConfiguration	getDateFormat()	0	[]		public	true	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
16	io.micronaut.jackson.JacksonConfiguration	getSerializationSettings()	0	[]		public	true	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
17	io.micronaut.jackson.JacksonConfiguration	getDeserializationSettings()	0	[]		public	true	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
18	io.micronaut.jackson.JacksonConfiguration	getMapperSettings()	0	[]		public	true	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
19	io.micronaut.jackson.JacksonConfiguration	getParserSettings()	0	[]		public	true	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
20	io.micronaut.jackson.JacksonConfiguration	getGeneratorSettings()	0	[]		public	true	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
21	io.micronaut.jackson.JacksonConfiguration	getFactorySettings()	0	[]		public	true	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
22	io.micronaut.jackson.JacksonConfiguration	getArraySizeThreshold()	23	[]		public	false	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
24	io.micronaut.jackson.JacksonConfiguration	getPropertyNamingStrategy()	0	[]		public	true	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
25	io.micronaut.jackson.JacksonConfiguration	isAlwaysSerializeErrorsAsList()	26	[]		public	false	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
27	io.micronaut.jackson.JacksonConfiguration	isTrimStrings()	0	[]		public	false	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
28	io.micronaut.jackson.JacksonConfiguration	setDateFormat(java.lang.String)	0	[false]		public	false	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
29	io.micronaut.jackson.JacksonConfiguration	setLocale(java.util.Locale)	0	[false]		public	false	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
30	io.micronaut.jackson.JacksonConfiguration	setTimeZone(java.util.TimeZone)	0	[false]		public	false	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
31	io.micronaut.jackson.JacksonConfiguration	setArraySizeThreshold(int)	0	[false]		public	false	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
32	io.micronaut.jackson.JacksonConfiguration	setSerialization(java.util.Map)	0	[false]		public	false	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
33	io.micronaut.jackson.JacksonConfiguration	setDeserialization(java.util.Map)	0	[false]		public	false	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
34	io.micronaut.jackson.JacksonConfiguration	setMapper(java.util.Map)	0	[false]		public	false	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
35	io.micronaut.jackson.JacksonConfiguration	setParser(java.util.Map)	0	[false]		public	false	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
36	io.micronaut.jackson.JacksonConfiguration	setGenerator(java.util.Map)	0	[false]		public	false	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
37	io.micronaut.jackson.JacksonConfiguration	setFactory(java.util.Map)	0	[false]		public	false	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
38	io.micronaut.jackson.JacksonConfiguration	setSerializationInclusion(com.fasterxml.jackson.annotation.JsonInclude.Include)	0	[false]		public	false	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
39	io.micronaut.jackson.JacksonConfiguration	setDefaultTyping(com.fasterxml.jackson.databind.ObjectMapper.DefaultTyping)	0	[false]		public	false	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
40	io.micronaut.jackson.JacksonConfiguration	setPropertyNamingStrategy(com.fasterxml.jackson.databind.PropertyNamingStrategy)	0	[false]		public	false	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
41	io.micronaut.jackson.JacksonConfiguration	setAlwaysSerializeErrorsAsList(boolean)	0	[false]		public	false	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
42	io.micronaut.jackson.JacksonConfiguration	setTrimStrings(boolean)	0	[false]		public	false	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
43	io.micronaut.jackson.JacksonConfiguration	constructType(io.micronaut.core.type.Argument,com.fasterxml.jackson.databind.type.TypeFactory)	0	[false, false]		public	true	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
44	io.micronaut.jackson.JacksonConfiguration	toJavaTypeArray(com.fasterxml.jackson.databind.type.TypeFactory,java.util.Map)	0	[false, false]		private	true	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/JacksonConfiguration.java
45	io.micronaut.jackson.databind.JacksonDatabindMapperSupplier	get()	46	[]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/databind/JacksonDatabindMapperSupplier.java
47	io.micronaut.jackson.databind.JacksonDatabindMapper	JacksonDatabindMapper(com.fasterxml.jackson.databind.ObjectMapper)	0	[false]	jakarta.inject.Inject,io.micronaut.core.annotation.Internal	public	false	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/databind/JacksonDatabindMapper.java
48	io.micronaut.jackson.databind.JacksonDatabindMapper	JacksonDatabindMapper()	0	[]	io.micronaut.core.annotation.Internal	public	false	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/databind/JacksonDatabindMapper.java
49	io.micronaut.jackson.databind.JacksonDatabindMapper	JacksonDatabindMapper(io.micronaut.jackson.databind.JacksonDatabindMapper,io.micronaut.core.type.Argument)	0	[false, false]		private	false	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/databind/JacksonDatabindMapper.java
50	io.micronaut.jackson.databind.JacksonDatabindMapper	createDefaultMapper()	0	[]		private	true	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/databind/JacksonDatabindMapper.java
51	io.micronaut.jackson.databind.JacksonDatabindMapper	getObjectMapper()	0	[]	io.micronaut.core.annotation.Internal	public	true	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/databind/JacksonDatabindMapper.java
52	io.micronaut.jackson.databind.JacksonDatabindMapper	createSpecific(io.micronaut.core.type.Argument)	53	[false]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/databind/JacksonDatabindMapper.java
54	io.micronaut.jackson.databind.JacksonDatabindMapper	createReader(io.micronaut.core.type.Argument)	0	[false]		private	true	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/databind/JacksonDatabindMapper.java
55	io.micronaut.jackson.databind.JacksonDatabindMapper	createWriter(io.micronaut.core.type.Argument)	0	[false]		private	true	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/databind/JacksonDatabindMapper.java
56	io.micronaut.jackson.databind.JacksonDatabindMapper	readValueFromTree(io.micronaut.json.tree.JsonNode,io.micronaut.core.type.Argument)	57	[false, false]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/databind/JacksonDatabindMapper.java
58	io.micronaut.jackson.databind.JacksonDatabindMapper	writeValueToTree(java.lang.Object)	59	[true]	java.lang.Override,io.micronaut.core.annotation.NonNull,io.micronaut.core.annotation.NonNull	public	true	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/databind/JacksonDatabindMapper.java
60	io.micronaut.jackson.databind.JacksonDatabindMapper	writeValueToTree(io.micronaut.core.type.Argument,T)	61	[false, false]	io.micronaut.core.annotation.NonNull,java.lang.Override,io.micronaut.core.annotation.NonNull	public	true	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/databind/JacksonDatabindMapper.java
62	io.micronaut.jackson.databind.JacksonDatabindMapper	readValue(java.io.InputStream,io.micronaut.core.type.Argument)	63	[false, false]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/databind/JacksonDatabindMapper.java
64	io.micronaut.jackson.databind.JacksonDatabindMapper	readValue(byte[],io.micronaut.core.type.Argument)	65	[false, false]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/jackson-databind/src/main/java/io/micronaut/jackson/databind/JacksonDatabindMapper.java
