id	class	method	parent	flags	annotations	visibility	non-primitive-return	path
1	io.micronaut.json.tree.JsonArray	JsonArray(java.util.List)	0	[false]		package	false	/Users/nima/Developer/micronaut-core/json-core/src/main/java/io/micronaut/json/tree/JsonArray.java
2	io.micronaut.json.tree.JsonArray	getValue()	3	[]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/json-core/src/main/java/io/micronaut/json/tree/JsonArray.java
4	io.micronaut.json.tree.JsonArray	size()	5	[]	java.lang.Override	public	false	/Users/nima/Developer/micronaut-core/json-core/src/main/java/io/micronaut/json/tree/JsonArray.java
6	io.micronaut.json.tree.JsonArray	isArray()	7	[]	java.lang.Override	public	false	/Users/nima/Developer/micronaut-core/json-core/src/main/java/io/micronaut/json/tree/JsonArray.java
8	io.micronaut.json.tree.JsonArray	get(java.lang.String)	9	[false]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/json-core/src/main/java/io/micronaut/json/tree/JsonArray.java
10	io.micronaut.json.tree.JsonArray	get(int)	11	[false]	java.lang.Override	public	true	/Users/nima/Developer/micronaut-core/json-core/src/main/java/io/micronaut/json/tree/JsonArray.java
12	io.micronaut.json.tree.JsonArray	values()	13	[]	java.lang.Override,io.micronaut.core.annotation.NonNull,io.micronaut.core.annotation.NonNull	public	true	/Users/nima/Developer/micronaut-core/json-core/src/main/java/io/micronaut/json/tree/JsonArray.java
14	io.micronaut.json.tree.JsonArray	entries()	15	[]	java.lang.Override,io.micronaut.core.annotation.NonNull,io.micronaut.core.annotation.NonNull	public	true	/Users/nima/Developer/micronaut-core/json-core/src/main/java/io/micronaut/json/tree/JsonArray.java
16	io.micronaut.json.tree.JsonArray	equals(java.lang.Object)	17	[false]	java.lang.Override	public	false	/Users/nima/Developer/micronaut-core/json-core/src/main/java/io/micronaut/json/tree/JsonArray.java
18	io.micronaut.json.tree.JsonArray	hashCode()	19	[]	java.lang.Override	public	false	/Users/nima/Developer/micronaut-core/json-core/src/main/java/io/micronaut/json/tree/JsonArray.java
20	io.micronaut.json.tree.JsonContainer	isContainerNode()	21	[]	java.lang.Override	public	false	/Users/nima/Developer/micronaut-core/json-core/src/main/java/io/micronaut/json/tree/JsonContainer.java
22	io.micronaut.json.tree.JsonNode	JsonNode()	0	[]		package	false	/Users/nima/Developer/micronaut-core/json-core/src/main/java/io/micronaut/json/tree/JsonNode.java
23	io.micronaut.json.tree.JsonNode	from(java.lang.Object)	0	[false]	io.micronaut.core.annotation.NonNull,io.micronaut.core.annotation.NonNull	public	true	/Users/nima/Developer/micronaut-core/json-core/src/main/java/io/micronaut/json/tree/JsonNode.java
24	io.micronaut.json.tree.JsonNode	nullNode()	0	[]	io.micronaut.core.annotation.NonNull,io.micronaut.core.annotation.NonNull	public	true	/Users/nima/Developer/micronaut-core/json-core/src/main/java/io/micronaut/json/tree/JsonNode.java
